incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes
Inc001115,Assault,South,Maplewood,GA,2830 Cedar Lane,170.2841,-77.50071,2024-04-16 08:45:03,Off0078,Emily,Davis,1342.0,Sus00281,Barbara,Thomas,51.0,Male,Asian,Vic00642,Robert,Torres,51.0,Unknown,622-326-5920,Firearm,Medium,Open,No Arrest,2.0,0,True,Incident At 2830 Cedar Lane. Officer Responded At Scene.
Inc004706,Burglary,Southeast,Maplewood,OH,2361 Park Rd,29.422717,-77.167016,2022-01-11 22:03:29,Off0059,Michelle,Green,5133.0,Sus00376,Barbara,Harris,-28.0,Other,Black,Vic00262,John,Martin,231.0,Unknown,241-973-4826,Firearm,High,Unknown,Unknown,2.0,44839.49,True,Incident At 2361 Park Rd. Officer Responded At Scene.
Inc002249,Homicide,Southwest,Lakewood,AZ,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:24,Off0088,Michael,White,7781.0,Sus00560,Richard,Scott,19.0,Unknown,Asian,Vic00518,Richard,Hill,29.0,Other,244-584-7696,Knife,Low,Closed,Warning,2.0,15963.38,True,Incident At 1067 Main St. Officer Responded At Scene.
Inc000021,Property Damage,Central,Springfield,AZ,4713 Washington Ave,28.633439,-99.030051,2020-12-09 15:14:24,Off0077,Chris,Jackson,5097.0,Sus00468,Michael,Thomas,262.0,Male,Black,Vic00243,Susan,Young,243.0,Unknown,502-122-7484,Hands,Low,Resolved,Unknown,5.0,48680.14,False,Incident At 4713 Washington Ave. Officer Responded At Scene.
Inc000488,Domestic Violence,North,Lakewood,PA,1371 River Rd,34.21785,-121.614731,2021-07-24 20:08:13,Off0083,Susan,Flores,6220.0,Sus00751,Thomas,Jackson,75.0,Female,White,Vic00512,Thomas,Thomas,51.0,Unknown,969-876-6873,Unarmed,Medium,Closed,Warning Issued,2.0,23513.01,True,
Inc000661,Burglary,East,Hillcrest,CA,3551 Elm Blvd,44.438603,-101.775119,05-03-2020,Off0089,Jennifer,Green,7082.0,Sus00454,James,Lee,73.0,Unknown,White,Vic00473,Anthony,Wilson,15.0,Unknown,590-332-6488,Blunt Object,High,Under Investigation,Arrest Made,1.0,0,True,Incident At 3551 Elm Blvd. Officer Responded At Scene.
Inc001727,Robbery,Southeast,Maplewood,TX,7394 Cedar Lane,38.525825,-90.100219,2021-10-03 05:17:02,Off0141,Jennifer,Harris,7747.0,Sus00623,Carol,Harris,58.0,Female,Unknown,Vic00429,Mary,Walker,72.0,Female,431-579-6170,Blunt Object,Unknown,Closed,Warning,3.0,0,True,Incident At 7394 Cedar Lane. Officer Responded At Scene.
Inc003981,Homicide,Midtown,Centerville,IL,1610 River Rd,46.854678,-99.512808,2023-09-30 14:49:01,Off0008,Karen,Hall,7869.0,Sus00533,Jennifer,Taylor,73.0,Male,White,Vic00904,David,Torres,49.0,Female,587-505-1798,Unknown,Low,Open,No Arrest,2.0,19075.36,False,Incident At 1610 River Rd. Officer Responded At Scene.
Inc001205,Burglary,East,Centerville,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:24,Off0034,Daniel,Jackson,8229.0,Sus00320,Robert,Hill,26.0,Unknown,Hispanic,Vic00093,Mary,Lee,55.0,Other,395-621-2676,Hands,Critical,Under Investigation,Warning,0.0,34452.47,True,Incident At 378 Oak Ave. Officer Responded At Scene.
Inc000972,Homicide,Northeast,Riverside,IL,8974 Park Rd,42.018768,-72.384742,2021-03-29 04:16:18,Off0093,Mary,Thompson,7242.0,Unknown,Unknown,Unknown,46.0,Unknown,Unknown,Vic00859,Michelle,Hill,10.0,Unknown,376-440-3132,Rifle,Medium,Investgation,Unknown,5.0,35339.52,Unknown,
